iter	Passed	Remaining
0	166	49867
1	185	27710
2	213	21120
3	232	17214
4	260	15382
5	281	13785
6	301	12613
7	328	12008
8	355	11489
9	379	11018
10	397	10455
11	423	10169
12	447	9886
13	464	9499
14	481	9149
15	498	8853
16	516	8603
17	541	8483
18	566	8378
19	590	8268
20	609	8097
21	629	7952
22	650	7836
23	680	7829
24	706	7775
25	744	7843
26	779	7884
27	804	7814
28	841	7862
29	863	7774
30	885	7682
31	916	7671
32	938	7591
33	967	7566
34	987	7475
35	1002	7349
36	1021	7260
37	1050	7240
38	1077	7208
39	1105	7184
40	1133	7162
41	1153	7083
42	1172	7007
43	1200	6983
44	1219	6913
45	1248	6892
46	1276	6872
47	1305	6852
48	1324	6786
49	1344	6723
50	1364	6661
51	1384	6600
52	1411	6579
53	1439	6559
54	1454	6477
55	1474	6425
56	1503	6407
57	1524	6361
58	1552	6341
59	1566	6266
60	1594	6248
61	1614	6195
62	1633	6144
63	1653	6096
64	1682	6081
65	1701	6033
66	1732	6023
67	1762	6014
68	1791	5998
69	1811	5952
70	1831	5907
71	1851	5863
72	1871	5819
73	1899	5801
74	1920	5760
75	1939	5716
76	1967	5698
77	1996	5683
78	2016	5641
79	2036	5601
80	2064	5581
81	2085	5543
82	2112	5523
83	2140	5505
84	2169	5488
85	2198	5470
86	2218	5430
87	2237	5391
88	2266	5373
89	2294	5354
90	2323	5337
91	2352	5319
92	2372	5281
93	2400	5261
94	2428	5239
95	2458	5223
96	2478	5186
97	2497	5148
98	2525	5127
99	2553	5107
100	2573	5070
101	2601	5050
102	2630	5031
103	2658	5010
104	2686	4990
105	2706	4953
106	2726	4917
107	2754	4896
108	2774	4861
109	2794	4827
110	2813	4790
111	2833	4756
112	2853	4721
113	2873	4687
114	2901	4667
115	2930	4647
116	2958	4627
117	2988	4608
118	3007	4574
119	3034	4551
120	3054	4519
121	3083	4499
122	3113	4480
123	3142	4460
124	3162	4427
125	3191	4407
126	3211	4374
127	3240	4354
128	3269	4333
129	3297	4312
130	3326	4291
131	3354	4269
132	3382	4247
133	3410	4225
134	3439	4203
135	3467	4181
136	3495	4159
137	3524	4137
138	3553	4115
139	3581	4093
140	3601	4061
141	3630	4039
142	3659	4017
143	3678	3985
144	3707	3963
145	3736	3941
146	3764	3917
147	3792	3895
148	3813	3864
149	3841	3841
150	3870	3819
151	3898	3796
152	3927	3773
153	3956	3751
154	3984	3727
155	4012	3703
156	4040	3679
157	4068	3656
158	4095	3631
159	4115	3600
160	4143	3577
161	4171	3553
162	4200	3530
163	4229	3507
164	4258	3483
165	4286	3460
166	4314	3436
167	4342	3412
168	4361	3381
169	4389	3357
170	4409	3326
171	4436	3301
172	4465	3277
173	4493	3253
174	4521	3229
175	4550	3206
176	4580	3183
177	4609	3158
178	4638	3135
179	4666	3111
180	4694	3086
181	4722	3061
182	4741	3031
183	4771	3007
184	4799	2983
185	4828	2959
186	4856	2934
187	4885	2910
188	4914	2886
189	4934	2856
190	4963	2832
191	4990	2807
192	5018	2782
193	5046	2757
194	5075	2732
195	5102	2707
196	5130	2682
197	5157	2657
198	5186	2632
199	5215	2607
200	5243	2582
201	5272	2557
202	5291	2528
203	5312	2499
204	5340	2474
205	5367	2449
206	5396	2424
207	5425	2399
208	5452	2374
209	5479	2348
210	5508	2323
211	5536	2298
212	5557	2269
213	5586	2244
214	5613	2219
215	5642	2194
216	5671	2169
217	5697	2143
218	5725	2117
219	5751	2091
220	5772	2063
221	5800	2038
222	5829	2012
223	5857	1987
224	5886	1962
225	5914	1936
226	5942	1911
227	5971	1885
228	5998	1859
229	6026	1834
230	6054	1808
231	6082	1782
232	6110	1757
233	6139	1731
234	6158	1703
235	6187	1677
236	6216	1652
237	6245	1626
238	6273	1601
239	6303	1575
240	6330	1549
241	6359	1524
242	6378	1496
243	6407	1470
244	6435	1444
245	6463	1418
246	6490	1392
247	6519	1367
248	6548	1341
249	6576	1315
250	6605	1289
251	6633	1263
252	6661	1237
253	6690	1211
254	6710	1184
255	6739	1158
256	6768	1132
257	6797	1106
258	6825	1080
259	6845	1053
260	6873	1027
261	6902	1001
262	6930	975
263	6950	947
264	6978	921
265	7006	895
266	7034	869
267	7062	843
268	7090	817
269	7118	790
270	7138	763
271	7166	737
272	7195	711
273	7215	684
274	7244	658
275	7272	632
276	7301	606
277	7321	579
278	7350	553
279	7370	526
280	7398	500
281	7427	474
282	7455	447
283	7484	421
284	7512	395
285	7541	369
286	7570	342
287	7598	316
288	7627	290
289	7655	263
290	7683	237
291	7712	211
292	7741	184
293	7761	158
294	7780	131
295	7808	105
296	7836	79
297	7863	52
298	7890	26
299	7918	0
